styrk08_code	styrk08_label	sector	employments	wage_avg	wage_median	wage_q1	wage_q3	employments_m	wage_avg_m	wage_median_m	wage_q1_m	wage_q3_m	employments_f	wage_avg_f	wage_median_f	wage_q1_f	wage_q3_f
0110	Offiserer fra fenrik og høyere grad	A	9468	59370	55300	47160	67270	8526	60240	56120	48170	68210	942	51460	47990	40590	56120
0210	Befal med sersjant grad	A	1341	39840	36820	29730	43550	1111	40460	37150	29730	44580	230	36810	35410	29420	39480
1111	Politikere	A	1866	65160	65810	50980	77170	1124	66360	67590	54170	77380	742	63380	63380	48530	76350
1112	Toppledere i offentlig administrasjon	A	1008	92410	87570	71600	112770	588	92720	86680	73330	111690	420	91970	89250	68750	113830
1114	Toppledere i interesseorganisasjoner	A	2297	59740	55250	43570	71250	1314	62520	57240	46180	75340	983	55900	52680	41360	66440
1120	Administrerende direktører	A	39023	75680	59460	43500	87660	30743	78800	60000	45000	91670	8280	63880	51240	38850	74920
1211	Finans- og økonomisjefer	A	8488	80080	69580	56000	90000	4638	90730	77460	62450	103300	3850	67050	61580	50920	74960
1212	Personalsjefer	A	2130	75390	68080	55720	84190	815	80200	71290	57220	89720	1315	72380	66010	54910	81820
1213	Strategi- og planleggingssjefer	A	296	59340	55420	48090	64880	149	64660	58970	51760	73670	147	53860	52890	45830	61240
1219	Andre administrative ledere	A	24186	64470	58330	49170	71930	12744	70160	62590	51670	78460	11442	58160	54250	47500	65630
1221	Salgs- og markedssjefer	A	15235	71360	65960	53370	81550	11416	73660	67670	55000	84070	3819	64460	60270	49600	73580
1222	PR- og informasjonssjefer	A	1511	63790	58330	45830	75000	841	65470	59200	46040	78000	670	61670	57050	45680	71300
1223	Forsknings- og utviklingsledere	A	2608	77180	72290	58750	87500	1888	79800	74670	60000	90270	720	70280	67950	57010	79270
1311	Ledere i skogbruk, gartnerier	A	849	53620	48420	42410	57990	568	56000	49930	43030	62570	281	48900	46810	41670	53470
1312	Ledere innen akvakultur	A	239	64830	61410	50450	69180	205	64740	60890	52000	68600	34	65370	NULL	NULL	NULL
1321	Ledere av industriproduksjon	A	11983	67580	61420	48790	78670	10562	67560	61100	48830	78430	1421	67700	63700	48570	80080
1322	Ledere av olje- og gassutvinning	A	5865	104360	93310	76150	121150	4829	105170	94070	76390	122090	1036	100610	88870	74960	112950
1323	Ledere av bygge- og anleggsvirksomhet	A	12778	58010	52080	42390	66670	11939	58170	52190	42480	66890	839	55600	51670	41630	63500
1324	Ledere av logistikk og transport	A	8228	62220	56070	43950	72650	6983	62410	55970	43770	72780	1245	61140	56700	44650	72450
1330	Ledere av IKT-enheter	A	4310	73180	67780	54000	85330	3794	73560	67920	54170	85800	516	70430	66800	53180	82000
1341	Ledere av omsorgstjenester for barn	A	4473	49850	49310	45680	52830	454	54530	51630	47770	58130	4019	49320	49040	45390	52420
1342	Ledere av helsetjenester	A	9522	59150	52040	46520	64170	2785	69170	59500	49250	82950	6737	55010	50530	45830	58670
1343	Ledere av eldreomsorg	A	2489	54750	54150	48830	59420	707	57200	56390	50330	62190	1782	53770	53190	48420	58330
1344	Ledere av sosialomsorg	A	1714	52920	49330	42890	59170	968	55820	51280	43560	62830	746	49130	47630	42290	55000
1345	Ledere av utdanning og undervisning	A	11928	56180	55250	50270	60850	5556	57350	56330	50350	62250	6372	55150	54420	50240	59800
1346	Ledere av forsikring og finansvirksomhet	A	5257	88300	75000	58430	100070	3580	93960	79630	60010	107340	1677	76330	68270	55140	86770
1349	Andre ledere av produksjon og tjenesteyting	A	4861	65010	59710	48910	75090	3260	67030	61130	50470	77140	1601	60870	56400	46000	70170
1411	Hotellsjefer	A	684	47490	42000	34910	52140	377	50140	42200	34760	58330	307	44240	41830	35000	50000
1412	Restaurantsjefer	A	2612	39360	38000	32500	44200	1624	40860	39500	33720	45500	988	36780	35820	30850	41650
1420	Varehandelssjefer	A	30267	46770	40930	34670	51580	16213	52240	45900	37500	60000	14054	40360	37000	33250	44620
1431	Sports-, rekreasjons- og kultursenterledere	A	2643	49860	46170	40000	55110	1294	52300	48330	40420	59810	1349	47460	44720	39190	52000
1439	Andre daglige ledere i tjenesteytende virksomheter	A	882	49800	43570	35000	53090	356	58360	48330	38400	62520	526	43950	40000	33860	50000
2111	Fysikere og astronomer	A	376	59440	55540	47730	67220	262	62010	58310	50080	69760	114	53700	50890	44750	57010
2112	Meteorologer	A	239	50610	49240	45400	55170	133	52750	51450	47040	57100	106	47990	47060	44050	50550
2113	Kjemikere	A	723	63290	59270	49800	72730	325	65800	61630	52220	75840	398	61260	56730	48330	71250
2114	Geologer og geofysikere	A	2581	80930	70830	53650	100000	1776	83650	73330	54480	103170	805	74860	64690	51780	92730
2120	Matematikere, statistikere	A	1302	52670	48420	41460	59960	678	55770	51960	42950	65340	624	49270	45650	39560	54290
2131	Biologer, botanikere, zoologer	A	1371	55180	53330	46450	61300	770	57390	55420	48240	63870	601	52430	50940	44270	58700
2132	Sivilagronomer	A	516	50410	49130	41950	56450	278	52060	49520	43500	58050	238	48450	47670	40130	54700
2133	Miljøvernrådgivere	A	376	52260	46930	42400	57110	190	56190	49090	43120	65580	186	48160	45830	41980	51870
2141	Sivilingeniører (industri og produksjon)	A	953	55540	50570	46020	57210	801	56020	50880	46410	57670	152	52940	48880	43980	54880
2142	Sivilingeniører (bygg og anlegg)	A	20860	61360	56350	48170	70250	17234	62360	57440	48750	71630	3626	56580	52360	46110	63280
2144	Sivilingeniører (maskin- og marin-teknikk)	A	3443	64750	61830	50950	76000	2998	65580	63280	51460	76720	445	59070	56570	47680	68920
2145	Sivilingeniører (kjemi)	A	615	61320	57350	46500	72490	338	65450	61580	49990	77720	277	56270	50670	44200	64750
2146	Sivilingeniører (geofag, petro-leumsteknologi, metallurgi mv.)	A	11735	76910	75270	59110	88690	8589	79440	77240	61220	90850	3146	69920	69630	54100	82420
2149	Andre sivilingeniører (unntatt elektroteknologi)	A	6311	65620	61980	51330	76720	4097	68380	65060	53260	80140	2214	60440	56650	48690	69340
2151	Sivilingeniører (elkraftteknikk)	A	2714	68260	65500	54110	77770	2290	69010	66120	54980	78230	424	64190	60580	50000	74550
2152	Sivilingeniører (elektronikk)	A	4287	64580	62360	50870	75420	3770	65300	63210	51600	76240	517	59240	57490	46320	69600
2153	Sivilingeniører (telekommunikasjon)	A	268	56680	55000	48310	62690	228	57560	55580	49130	63440	40	51660	NULL	NULL	NULL
2161	Sivilarkitekter	A	5607	57400	55300	46790	65880	2704	60110	58460	48330	68840	2903	54880	53220	45830	62800
2162	Landskapsarkitekter	A	684	56070	54170	46720	64190	260	58360	56250	47920	66920	424	54670	52920	45830	62920
2163	Produkt- og klesdesignere	A	652	47650	45170	37500	55410	288	50000	47770	39580	59290	364	45790	43310	36000	53330
2164	Arealplanleggere	A	1161	52460	49110	43920	58330	662	54020	49910	44060	60970	499	50420	48240	43510	55420
2165	Landmålere, kartografer	A	1091	48760	47380	42340	53470	748	49200	47400	42290	53880	343	47800	47270	42340	52760
2166	Grafiske- og multimediadesignere	A	3877	43630	41670	35630	49830	2023	45040	43140	36470	51350	1854	42050	40760	35000	46990
2211	Allmennpraktiserende leger	A	8364	66940	60830	48910	80100	4284	71120	65430	50000	87500	4080	62920	58150	47510	73900
2212	Legespesialister	A	15286	80820	78690	64660	95060	7517	86370	85430	69150	101510	7769	75660	73710	61750	88090
2221	Spesialsykepleiere	A	29267	46730	46430	42530	50110	3078	49700	48580	45170	52690	26189	46370	46150	42320	49830
2222	Jordmødre	A	2909	50620	50530	45420	55010	6	50620	NULL	NULL	NULL	2903	50620	50530	45420	55010
2223	Sykepleiere	A	63010	43160	43060	39130	46610	5613	45000	44530	40370	48910	57397	42980	42910	39040	46420
2224	Vernepleiere	A	18978	42150	42350	38260	45770	4570	43380	43460	39240	47160	14408	41760	42040	38040	45340
2250	Veterinærer	A	1228	50270	48080	40540	57210	342	54250	51460	44170	62110	886	48670	46290	39250	55000
2261	Tannleger	A	3111	62010	57500	49170	70660	1322	66160	60680	50000	75920	1789	58980	55830	48330	66670
2262	Farmasøyter	A	2420	56820	54170	45610	66300	627	60580	58520	48080	70530	1793	55530	52650	45160	64310
2264	Fysioterapeuter	A	6068	40160	40420	35000	43810	1389	41920	41000	35830	45730	4679	39650	40240	34840	43470
2265	Ernæringsfysiologer	A	668	48470	45830	41580	52500	131	55180	50080	43990	64330	537	46710	45250	41280	51060
2266	Audiografer og logopeder	A	478	40200	38670	34830	43750	102	39940	NULL	NULL	NULL	376	40270	38710	35260	43590
2267	Ergoterapeuter	A	2772	38860	39220	34920	42250	273	40140	39720	35560	43060	2499	38720	39150	34840	42100
2310	Universitets- og høyskolelektorer/-lærere	A	32096	48960	47380	39530	55110	16728	50800	49130	40730	57770	15368	47040	46290	39440	51990
2320	Yrkesfaglærere	A	831	43900	44060	39730	47810	501	44170	44060	39730	48070	330	43450	43870	39450	47300
2330	Lektorer mv. (videregående skole)	A	27080	46810	46640	43070	50460	12353	47120	46710	43330	50420	14727	46550	46580	42970	50500
2341	Grunnskolelærere	A	78402	43440	44080	40330	47390	19636	44020	44330	40890	47600	58766	43250	43970	40060	47270
2342	Førskolelærere	A	31168	38590	38880	35510	41600	2556	38150	37510	35030	40780	28612	38630	39030	35620	41600
2351	Spesialister i pedagogikk	A	2783	47840	49620	40250	54330	891	50010	51790	44230	55830	1892	46790	48220	39130	53420
2352	Spesiallærere / spesialpedagoger	A	2488	43330	43110	40580	46510	208	45130	45210	41600	48240	2280	43150	42910	40580	46510
2354	Andre musikklærere	A	4459	42550	43000	38450	46700	2015	42480	42770	38420	46630	2444	42610	43210	38480	46750
2359	Andre lærere	A	2593	45330	42620	37080	49880	1330	48380	44000	38330	52680	1263	42020	41440	36080	47080
2411	Revisorer, regnskapsrådgivere	A	14393	55220	50290	41480	63750	6498	60510	56010	44790	70750	7895	50770	47030	39780	58070
2412	Finans- og investeringsrådgivere	A	11962	60690	53370	43480	68700	6655	66640	58330	46670	75540	5307	53200	49030	40940	60420
2413	Finansanalytikere	A	10604	60400	54180	44870	69070	6211	64950	58610	47330	75000	4393	53890	49990	42560	60440
2421	Organisasjonsrådgivere	A	7534	51330	44900	39530	54440	3104	58830	50000	41600	62400	4430	45830	42840	38330	49980
2422	Høyere saksbehandlere i offentlig og privat virksomhet	A	66256	47020	44780	39530	51670	24198	50680	48000	41990	55380	42058	44890	43110	38580	49450
2423	Personal- og karriererådgivere	A	10840	52420	48220	41440	58330	3110	56790	51740	43170	64170	7730	50700	47050	40830	56170
2424	Rådgivere innen kompetanseutvikling	A	730	52590	48620	42230	58330	464	53750	49990	43350	58750	266	50460	46670	40650	56130
2431	Reklame- og markedsføringsrådgivere	A	6657	49060	45000	38250	54350	2617	53740	47770	38990	60790	4040	46030	43750	37990	51030
2432	Informasjonsrådgivere	A	3820	48690	45830	39560	54170	1448	51290	47250	40210	58330	2372	47090	45000	39020	52500
2433	Salgskonsulenter innen tekniske og medisinske produkter	A	2785	58920	56490	48450	66180	2495	59220	56750	48970	66480	290	56300	53540	45090	64510
2434	Salgskonsulenter innen IKT-produkter	A	372	59650	54400	41670	67500	291	61760	57990	42830	69170	81	52070	NULL	NULL	NULL
2511	Systemanalytikere/-arkitekter	A	21124	59540	57130	47790	68110	16464	60470	58250	48610	68950	4660	56220	53780	45530	64550
2512	Programvareutviklere	A	4129	56230	53280	43340	65000	3716	56650	53830	43750	65450	413	52350	50000	41400	60080
2519	Andre programvare- og applikasjonsutviklere	A	13965	56250	52900	43190	65630	11054	57240	53990	43750	67000	2911	52440	49280	41600	60300
2521	Databasedesignere og -administratorer	A	401	54880	53280	42000	64770	295	55380	54480	42720	66670	106	53490	50760	41670	58200
2522	Systemadministratorer	A	931	53660	49830	42630	62540	720	54970	50710	43510	65390	211	49100	46850	40410	55330
2529	Sikkerhetsanalytikere	A	1960	58810	54530	45420	66700	1634	59390	55000	45420	67830	326	55970	52670	45200	62460
2611	Jurister og advokater	A	8131	65290	58330	46670	77260	4004	70540	63090	49300	85000	4127	60190	54560	45150	70000
2612	Dommere	A	858	77690	90920	57080	95420	470	80570	90920	68800	95420	388	74200	90920	44630	93040
2619	Andre juridiske yrker	A	779	61130	51990	42690	74300	306	67340	59240	45300	79170	473	57130	49860	41960	68340
2621	Arkivarer og kuratorer	A	1189	42650	42400	38260	47420	404	44300	43930	39350	49130	785	41780	41630	37580	46500
2622	Bibliotekarer og andre informasjonsarbeidere	A	2690	40120	39830	36960	42820	515	40020	39170	36380	42370	2175	40140	40060	37110	42940
2631	Rådgivere/forskere, samfunnsøkonomi	A	1275	61390	52370	46170	65000	735	67310	55960	48460	71210	540	53600	49580	44520	56670
2632	Rådgivere/forskere, samfunnsvitenskap	A	879	55180	53190	45530	63750	390	58020	55380	48280	65690	489	52940	50940	44630	59040
2633	Rådgivere/forskere, humanistiske fag	A	351	41670	40830	35810	45830	153	41570	40820	35900	45900	198	41740	40880	35350	45490
2634	Psykologer	A	7334	51540	49350	43750	59420	1772	55210	55650	45420	62610	5562	50390	48210	43410	58170
2635	Rådgivere innen sosiale fagfelt	A	6843	41350	41330	37620	44620	1089	43230	42600	38920	46190	5754	41000	40930	37370	44330
2636	Geistlige yrker	A	2546	49050	50100	42370	55130	1723	49490	51060	42400	55430	823	48110	48400	42070	53490
2641	Forfattere	A	1191	51850	50430	42920	59000	485	54990	52050	44740	62500	706	49650	49290	41690	54880
2642	Journalister	A	7230	48510	46280	41060	54300	4160	50000	47330	42270	56210	3070	46430	45090	39400	51920
2643	Oversettere, tolker	A	2786	38860	35780	30040	43000	1044	39010	35000	29490	43330	1742	38760	36440	30590	42530
2652	Dirigenter, komponister, musikere og sangere	A	2539	45130	45800	40340	50410	1546	45420	46370	40130	51050	993	44670	45340	40640	49300
2653	Koreografer og dansere	A	428	42430	42630	35000	47240	105	42920	NULL	NULL	NULL	323	42270	41470	35350	46930
2654	Regissører	A	904	51310	48000	40200	59000	562	52340	48810	41230	60000	342	49570	47300	39380	56000
2655	Skuespillere	A	719	42020	41670	35310	45520	352	41980	41770	35790	45110	367	42060	41060	35000	45860
2656	Programledere i TV og radio	A	345	53390	48000	38470	61880	180	56170	48330	39970	69350	165	50420	46960	38000	57290
3112	Bygningsingeniører	A	17535	51540	48300	41740	58330	14468	52390	49190	42230	59550	3067	47410	45080	40490	51670
3113	Elkraftingeniører	A	4628	56130	53370	47590	62360	4118	56620	53990	48210	62810	510	52100	49570	43390	57010
3114	Elektronikkingeniører	A	12495	54870	52060	44060	62250	11285	54860	52170	44110	62250	1210	54960	50770	43800	62090
3115	Maskiningeniører	A	6647	51300	48940	41920	58000	6209	51360	49070	41910	58170	438	50390	47850	42240	55510
3116	Kjemiingeniører	A	2466	55240	51180	41940	64660	1338	61090	57710	46740	71810	1128	48100	45230	39170	53640
3117	Ingeniører innen petroleum, bergverk og metallurgi	A	11794	67170	61440	50500	76970	10144	67850	62310	51190	77730	1650	62930	56300	46890	70460
3118	Tekniske tegnere	A	2601	47180	45380	40000	51150	1629	48110	45850	40590	51800	972	45570	44580	39560	50000
3119	Andre ingeniører	A	23329	53270	50190	42670	60510	18820	53820	50760	42990	61200	4509	50860	47980	41460	57800
3122	Arbeidsleder, industri	A	3579	45160	43990	39340	49850	3353	45330	44180	39530	50000	226	42620	41200	37340	46760
3123	Arbeidsleder, bygg og anlegg	A	10357	50430	48610	42220	56780	10114	50510	48710	42340	56850	243	46990	43760	38230	51600
3131	Energikontrolloperatører	A	1272	48710	47510	43210	54080	1224	48910	47590	43540	54080	48	43610	NULL	NULL	NULL
3133	Kontrolloperatører innen kjemisk prosessindustri	A	412	50460	50010	42280	57760	389	50610	50100	42700	57760	23	47920	NULL	NULL	NULL
3134	Kontrolloperatører ved olje- og naturgassraffineringsanlegg	A	1702	63360	56780	49740	69730	1556	64120	57240	50360	70950	146	55110	51160	43990	58330
3135	Kontrolloperatører innen metallproduksjon	A	234	43560	43210	38140	48160	224	43800	43630	38160	48330	10	38180	NULL	NULL	NULL
3141	Bioteknikere (ikke-medisinske laboratorier)	A	1320	38700	37350	33160	42010	505	39290	38520	33330	43350	815	38320	36510	33100	41100
3142	Agroteknikere	A	567	42640	41510	35460	47230	338	43340	42440	36000	47420	229	41570	40450	35090	47050
3143	Skogteknikere	A	668	43400	42650	39470	46640	590	43920	43030	39920	47210	78	39470	NULL	NULL	NULL
3151	Skipsmaskinister	A	3670	61620	60180	51540	70130	3631	61770	60310	51680	70250	39	47650	NULL	NULL	NULL
3152	Dekksoffiserer og loser	A	6944	60220	58380	50080	68750	6783	60460	58620	50360	68980	161	50180	50960	42950	58190
3153	Flygere	A	2073	85390	87970	59020	106560	1994	85650	88520	59220	106700	79	78830	NULL	NULL	NULL
3154	Flygeledere	A	545	80420	80700	53480	105500	403	84100	89340	61300	106760	142	69940	66500	49970	89970
3211	Radiografer	A	2862	41870	41870	38350	44950	755	43660	43300	40190	46350	2107	41210	41420	37910	44460
3212	Bioingeniører	A	7180	41040	40750	37170	44570	1314	42800	41660	38230	46640	5866	40640	40520	36880	44240
3213	Reseptarer	A	1965	42150	41500	37010	45540	268	41330	39070	35120	44330	1697	42280	41660	37250	45700
3214	Protese- og tannteknikere	A	1011	42230	40290	34100	50000	527	44080	41670	35850	52000	484	40160	38420	32500	46810
3240	Dyrepleiere	A	1233	30440	29140	26000	33370	81	35130	NULL	NULL	NULL	1152	30110	28920	25980	32520
3251	Tannpleiere	A	1039	39350	39020	34400	42780	22	37500	NULL	NULL	NULL	1017	39390	39100	34510	42780
3254	Optikere	A	1226	44600	42920	38120	49400	457	47350	45830	40000	53530	769	42860	41670	37310	47290
3256	Helsesekretærer	A	14753	33950	33880	32280	35740	163	33540	32060	27830	36260	14590	33950	33890	32380	35740
3257	Helse- og miljøkontrollører	A	3988	55000	47960	41960	61510	1999	59700	52500	43930	67970	1989	50180	45440	40410	53690
3258	Ambulansepersonell	A	5522	40960	42680	37110	46410	3372	42680	43540	39260	47250	2150	38200	40450	34450	44690
3259	Andre helseyrker	A	2245	38720	37540	35090	41670	886	38880	37570	35120	41450	1359	38600	37500	35070	41930
3311	Finansmeglere	A	4182	93200	64990	45890	101290	2849	108430	76850	51110	121390	1333	59550	49780	40480	65830
3312	Kundebehandlere lån og kreditt	A	14396	49320	43470	37670	53520	6173	56170	48340	40240	60960	8223	44060	41020	36390	48210
3313	Regnskapsførere	A	18663	47540	44330	38880	52190	5921	52300	47920	40900	59330	12742	45310	43010	38330	49830
3315	Takstmenn	A	1865	46070	42700	37120	51140	1370	48120	45410	38120	54170	495	40390	38740	35270	43470
3321	Forsikringsagenter	A	8338	53100	46460	38700	61820	4440	57410	50590	40000	68090	3898	48110	43550	37900	53520
3322	Selgere (engros)	A	43577	49890	45810	37670	57220	30906	51650	47340	39100	59310	12671	45350	41870	35320	51480
3323	Innkjøpere	A	4816	50400	47040	40480	56390	2715	52970	49070	41840	60040	2101	47070	44780	38950	52100
3324	Handels- og skipsmeglere	A	693	96450	67920	50000	97220	595	102930	70830	53100	102100	98	57110	NULL	NULL	NULL
3331	Speditører og befraktere	A	4615	44840	41250	36080	48600	3176	46590	42430	37050	50170	1439	40990	38850	34510	44700
3332	Konferanse- og arrangementsplanleggere	A	865	47620	41670	36380	53050	419	51970	43640	37500	60000	446	43360	40330	35420	46800
3333	Arbeidsformidlere	A	8046	37190	34140	30120	40590	4544	37650	33860	30150	40640	3502	36590	34560	30070	40500
3334	Eiendomsmeglere og - forvaltere	A	4391	61100	51040	39040	72510	2798	65470	54940	40790	79370	1593	53420	46450	37140	61210
3341	Arbeidsledere for kontorpersonell	A	6750	52290	48330	40880	59620	2920	57430	52880	43600	66090	3830	48220	46440	40000	53350
3342	Advokatsekretær	A	994	40360	39580	35320	44870	44	42300	NULL	NULL	NULL	950	40270	39600	35420	44820
3343	Sjefssekretærer	A	9468	43290	40320	36380	46820	2061	48680	43420	38210	55420	7407	41790	39720	36100	45210
3351	Tollere	A	1323	38650	38380	35740	42010	690	39750	39530	36560	43360	633	37410	37100	34680	40300
3352	Skattefunksjonærer	A	2565	38460	37580	35810	40090	764	40190	38840	36960	42390	1801	37700	37100	35810	39000
3353	Saksbehandlere innen sosiale ytelser	A	6484	36850	36960	35810	38230	1569	37390	36960	35810	38230	4915	36670	36960	35810	38230
3355	Politibetjenter	A	9842	47700	47020	41320	52860	6712	49100	48450	42930	54390	3130	44660	43860	38970	49330
3359	Andre yrker innen offentlig forvaltning	A	8394	39450	38230	35530	42080	2131	42140	40310	36750	45150	6263	38520	37660	35370	41040
3412	Miljøarbeidere innen sosiale fagfelt	A	18944	39950	39650	36530	43270	4974	40720	40080	36670	44330	13970	39690	39480	36530	42840
3413	Religiøse yrker	A	3209	37990	37480	32770	42290	1184	38110	36990	32230	43000	2025	37920	37540	33180	41820
3421	Idrettsutøvere	A	2013	40560	33340	25000	47450	1652	42230	35000	25710	50000	361	31130	27620	22600	37500
