nus_kode	nus_navn	wage_avg	wage_median	wage_q1	wage_q3	employments_50	wage_avg_04	wage_median_04	wage_q1_04	wage_q3_04	employments_04	wage_avg_50	wage_median_50	wage_q1_50	wage_q3_50	employments_50
2011	Generelle programmer	411000	391440	331200	465720	441346	269760	264120	205680	326640	110174	441000	409200	360840	482760	331172
4011	Generelle programmer	489120	429360	352920	546000	219001	337800	326040	300000	360000	74664	535080	470760	397560	594360	144337
9999	Uoppgitt utdanningsgruppe	425160	380040	342960	451920	179859	NULL	NULL	NULL	NULL	NULL	433560	391200	353280	458160	4713
4552	Mekaniske fag	535560	492840	429000	598680	105968	443160	430200	384000	484680	13159	548520	504360	437640	609840	92809
6611	Sykepleiefag	535200	528360	476760	581640	101928	481680	479160	439680	522600	21095	547080	539040	491640	591720	80833
4571	Bygg og anlegg	528600	491160	432600	583920	85264	463560	452040	408240	506520	13860	541080	501720	439920	600000	71404
4551	Elektro	579000	540840	471360	652800	77332	467760	473280	412080	525120	13468	601320	559800	486480	676800	63864
6411	Økonomisk-administrative fag	698400	589440	466080	791160	77218	443880	410040	353040	479280	16132	749400	627840	507240	840000	61086
4411	Økonomisk-administrative fag	546960	490200	420240	600000	44547	494400	471480	407280	551880	1524	548760	490800	420960	600480	43023
4699	Helse-, sosial- og idrettsfag, andre	447360	423240	398520	489480	40404	432000	415680	392760	479400	7954	451080	425280	400440	492600	32450
6221	Allmenn-/grunnskolelærerutdanninger	513120	511920	461520	553680	38360	436560	442680	379920	471240	8621	528960	523080	484440	564600	29739
6211	Førskole-/barnehagelærerutdanninger	476520	472080	426720	513960	37659	424440	423840	396240	454680	9178	491520	486960	445200	527400	28481
6699	Helse-, sosial- og idrettsfag, andre	522360	519960	462120	572520	36726	495480	503640	432000	557040	9512	531000	524520	471000	578280	27214
4619	Pleie- og omsorgsfag, andre	453000	460680	407160	494160	35159	444240	444960	398280	489120	13539	457800	466080	412200	496560	21620
4621	Sosialfag	400080	402480	361920	414600	34082	387120	398640	342960	408960	11854	406800	406080	386640	419400	22228
7599	Naturvitenskapelige fag, håndverksfag og tekniske fag, andre	768000	696960	559200	900000	34007	556200	531960	472680	608880	4633	801600	734040	596520	930960	29374
6251	Videreutdanninger for lærere, uspesifisert	556320	551760	508440	592080	33710	517560	526200	472080	572040	1228	557880	552240	508680	593040	32482
4581	Næringsmiddelproduksjon	467160	433800	389520	516240	32036	383400	364920	333840	423000	3797	478080	441600	396120	526560	28239
7411	Økonomisk-administrative fag	771960	666960	532200	866280	31044	592440	537360	462600	666480	10883	866520	745680	601560	956640	20161
4612	Hjelpepleiefag	472560	476160	434520	507000	30750	459600	463920	407880	504960	279	472680	476160	435000	507000	30471
6621	Sosialfag	493080	483120	437520	539160	29193	440040	438000	388680	483600	7778	508680	497040	453360	551520	21415
7631	Medisin	899760	861960	661440	1099200	27434	716040	661440	546960	815520	5585	951480	925320	732360	1142760	21849
4432	Kontorfag	475080	444000	396960	512040	25894	388680	386280	339720	425520	1510	480120	447960	401040	516360	24384
6199	Humanistiske og estetiske fag, andre	584160	527160	437880	648240	25681	363360	342600	311160	398880	872	589200	530400	443520	650160	24809
4599	Naturvitenskapelige fag, håndverksfag og tekniske fag, andre	459120	426120	379920	495120	24475	416160	409560	361320	467640	333	459720	426360	380040	495600	24142
6541	Informasjons- og datateknologi	645240	603960	489960	748920	23101	451560	442920	372840	503280	4639	684000	641640	533280	780240	18462
6599	Naturvitenskapelige fag, håndverksfag og tekniske fag, andre	627120	553200	423480	732840	20723	435600	413400	333000	500040	2136	643320	569400	435840	750120	18587
7371	Rettsstudiet	751920	652200	531960	875040	20260	534720	498360	450000	575040	4156	806280	704040	580080	941400	16104
4799	Primærnæringsfag, andre	453840	425760	374160	499800	18132	351120	340320	297600	391560	2146	464520	433080	386040	507600	15986
6551	Elektro	699360	655680	542280	804960	17438	497160	489240	400080	555000	3103	735000	687600	579600	832080	14335
4681	Idrettsfag	446400	403320	330120	504000	17353	345960	327720	300240	366720	8855	508800	464160	396000	561360	8498
4831	Hår- og skjønnhetspleie	411840	391200	337320	460320	16528	341760	323640	296400	368280	3195	427560	402480	356280	479520	13333
6422	Markedsføring	603480	531000	429960	692760	16457	405600	390000	337680	444960	3980	651480	575040	472800	738480	12477
6613	Vernepleiefag	506400	507360	456480	551040	16361	466800	465240	426960	510000	4607	519480	519120	470640	560040	11754
4499	Økonomiske og administrative fag, andre	500640	457560	399240	541920	16205	NULL	NULL	NULL	NULL	NULL	501120	458040	399480	542400	16128
6552	Mekaniske fag	736920	680400	537960	861840	16166	476160	461760	370200	533640	3356	788280	723360	594360	900000	12810
6571	Bygg og anlegg	709560	644400	540000	807120	14943	510840	504000	444960	564000	3153	755160	687960	578040	849720	11790
6419	Økonomisk-administrative fag, andre	714360	573720	438600	816720	14590	459840	399720	331200	490080	3902	790800	632640	500040	888960	10688
4814	Vegtrafikkfag	478920	453960	419520	514440	14329	443880	440760	405840	471360	2310	485760	457920	420960	526440	12019
4541	Informasjons- og datateknologi	517920	477240	411120	570000	14162	390480	378600	339720	423120	1730	534360	490560	426480	585000	12432
6999	Uoppgitt utdanningsgruppe	525720	487080	391080	587160	12436	401760	366240	319080	457920	1915	542160	502080	402720	599640	10521
6499	Økonomiske og administrative fag, andre	536880	452160	369720	611520	11178	508920	545040	352680	624960	856	539040	450000	370200	606000	10322
6821	Militære fag	811440	695040	573600	905160	10593	593400	581040	456600	665760	456	821640	702000	578760	916800	10137
7699	Helse-, sosial- og idrettsfag, andre	610920	551760	474000	660000	10524	531240	521400	459960	579960	3195	645480	574200	481200	720360	7329
4421	Handel	451440	417600	390960	480000	10305	392520	398520	355080	420480	2385	468600	427800	396000	500640	7920
6823	Politifag	565800	552000	477960	630840	10300	465360	460560	423240	509640	3267	606840	588960	527520	660840	7033
6238	Praktisk-pedagogiske utdanninger	540000	531960	484800	577800	10045	499440	496680	453240	534960	2623	553200	545040	500040	586440	7422
4813	Maritime navigasjonsfag	663840	626760	500640	777000	9850	503040	508320	396840	589680	1682	693720	656760	528720	806640	8168
4579	Bygg- og anleggsfag, andre	514560	482160	438360	555240	9243	452160	448200	409200	486240	1990	531720	496320	448200	577560	7253
7552	Mekaniske fag	908040	829800	622080	1050480	9037	563160	540960	489600	614040	1662	983280	900000	705000	1101240	7375
7571	Bygg og anlegg	864120	790320	626520	989880	8381	587040	569400	534960	618480	1160	909840	840000	672960	1021800	7221
7551	Elektro	853320	796920	628680	991920	8329	570480	555000	509760	615000	1399	909840	856080	694440	1029480	6930
4522	Kjemiske fag	572280	548640	470640	635760	8145	519960	529800	449760	582120	1688	585720	559080	474960	651840	6457
4431	Sekretærutdanninger	512040	474720	418200	560040	8131	415200	413160	390960	437400	702	520800	483600	425280	570120	7429
7541	Informasjons- og datateknologi	747120	704400	584160	849960	8096	570720	553200	501000	623520	1882	799320	756000	645360	900000	6214
7361	Psykologi	635880	609960	519960	732240	8063	524760	515040	480000	550680	2132	675480	684960	561000	756960	5931
4999	Uoppgitt utdanningsgruppe	408960	394320	358800	443040	8008	363600	345360	311760	384000	259	410160	395760	360000	443880	7749
4441	Reiselivsfag	492480	458520	402480	540600	7663	374640	367200	332400	409320	345	497640	461640	407760	545160	7318
4169	Bildende kunst og kunsthåndverk, andre	433320	403440	370560	470880	7481	353760	350760	316920	385800	363	437040	406440	375600	474840	7118
4583	Produksjon av tre, papir, plast og glass	477960	445920	401400	517320	7380	412800	405960	373440	445800	479	482520	449160	404040	524160	6901
6681	Idrettsfag	504240	487080	409800	558000	7302	407160	386280	331200	456360	2519	537840	512520	453720	576360	4783
7522	Kjemiske fag	903360	788280	580440	1079160	7284	542520	516000	455520	609720	1208	971880	873960	635880	1138320	6076
6652	Fysioterapi	494040	482040	414360	536520	7171	428040	400560	376200	504960	1719	510480	493320	438360	545280	5452
7199	Humanistiske og estetiske fag, andre	547440	537360	436560	629880	6590	493320	490560	414000	559200	887	555600	547800	440040	638280	5703
