soc_code	lenket_til_norsk_yrke
15-2041.01	Statistiker
15-1121.01	Helseinformatiker
35-3022.01	Barista
23-1011.00	Advokat
23-2011.00	Advokatassistent
43-6012.00	Advokatsekretær
41-3031.03	Aksjemegler
29-1125.00	Aktivitør
25-2059.01	Aktivitør
15-2011.00	Aktuar
29-1199.01	Akupunktør
29-1062.00	Allmennlege
53-3011.00	Ambulansearbeider
29-2041.00	Ambulansearbeider
29-1061.00	Anestesilege
29-1151.00	Anestesisykepleier
27-1014.00	Animatør
37-3011.00	Anleggsgartner
53-7032.00	Anleggsmaskinfører
49-3042.00	Anleggsmaskinmekaniker
29-2052.00	Apotektekniker
19-3091.02	Arkeolog
17-1011.00	Arkitekt
43-4071.00	Arkivar
25-4011.00	Arkivar
27-1011.00	Art director
47-2071.00	Asfaltør
19-2011.00	Astronom
39-9011.01	Au pair
29-2092.00	Audiograf
29-1181.00	Audiograf
51-4012.00	Automatiker
49-2091.00	Avioniker
33-9092.00	Badevakt
51-3011.00	Baker
47-4061.00	Banemontør
25-2012.00	Barne- og ungdomsarbeider
39-9011.00	Barnehageassistent
25-2011.00	Barnehagelærer
11-9031.00	Barnehagelærer
29-1065.00	Barnelege
21-1021.00	Barnevernspedagog
35-3011.00	Bartender
47-2051.00	Betongfagarbeider
47-2171.00	Betongfagarbeider
25-4021.00	Bibliotekar
53-7061.00	Bilklargjører
51-9122.00	Billakkerer
49-3023.01	Bilmekaniker (lette kjøretøy)
49-3031.00	Bilmekaniker (tunge kjøretøy)
49-3022.00	Bilskadereparatør
31-9097.00	Bioingeniør
19-1021.00	Biokjemiker
17-2199.01	Biokjemiker
19-1020.01	Biolog
19-4021.00	Bioteknolog
17-2031.00	Bioteknolog
27-1023.00	Blomsterdekoratør
51-5113.00	Bokbinder
45-2092.02	Bonde
45-2091.00	Bonde
45-2093.00	Bonde
47-5011.00	Bore- og vedlikeholdsoperatør
47-5012.00	Bore- og vedlikeholdsoperatør
33-2021.02	Branningeniør
33-2021.01	Branningeniør
17-2111.02	Branningeniør
33-2011.01	Brannkonstabel
53-3021.00	Bussjåfør
41-2011.00	Butikkmedarbeider
17-2051.00	Byggingeniør
19-1029.02	Cellebiolog
51-7041.00	CNC-operatør
27-2031.00	Danser
17-2061.00	Dataingeniør
15-1131.00	Dataingeniør
27-2041.01	Dirigent
23-1023.00	Dommer
49-9092.00	Dykker
39-2021.00	Dyrepasser
29-2056.00	Dyrepleier
41-9022.00	Eiendomsmegler
41-9021.00	Eiendomsmegler
47-2111.00	Elektriker
17-3023.01	Elektroingeniør
17-3023.03	Elektroingeniør
17-2071.00	Elektroingeniør
17-2072.00	Elektroingeniør
49-2094.00	Elektroreparatør
49-9051.00	Energimontør
51-8013.00	Energioperatør
51-8099.04	Energioperatør
29-1122.00	Ergoterapeut
33-3021.01	Etterforsker
33-9021.00	Etterforsker
33-3021.02	Etterforsker
25-1194.00	Faglærer
25-2023.00	Faglærer
25-2032.00	Faglærer
29-1051.00	Farmasøyt
33-3012.00	Fengselsbetjent
25-1126.00	Filosof
13-2051.00	Finansanalytiker
11-9013.03	Fiskeoppdretter
45-3011.00	Fisker
47-5051.00	Fjell- og bergverksarbeider
47-5031.00	Fjell- og bergverksarbeider
47-5061.00	Fjell- og bergverksarbeider
53-2021.00	Flygeleder
49-3011.00	Flymotormekaniker
51-2011.00	Flystrukturmekaniker
27-3043.05	Forfatter
13-2053.00	Forsikringsrådgiver
41-3021.00	Forsikringsrådgiver
27-4021.00	Fotograf
29-1081.00	Fotterapeut
39-5012.00	Frisør
19-2012.00	Fysiker
29-1123.00	Fysioterapeut
39-2011.00	Førerhundtrener
45-2092.01	Gartner
11-9013.01	Gartner
19-2042.00	Geofysiker
19-3092.00	Geograf
17-2151.00	Geolog
47-2161.00	Gipsmaker
53-7081.00	Gjenvinningsoperatør
51-4122.00	Gjørtler
47-2121.00	Glassfagarbeider
27-1024.00	Grafisk designer
51-5111.00	Grafisk trykker
51-5112.00	Grafisk trykker
39-4021.00	Gravferdskonsulent
39-4031.00	Gravferdskonsulent
11-9061.00	Gravferdskonsulent
51-9194.00	Gravør
25-2022.00	Grunnskolelærer
25-2021.00	Grunnskolelærer
39-7011.00	Guide
51-9071.07	Gullsmed
51-9071.01	Gullsmed
